Overriding config with config/train_taylor_corpus_baseline.py:
# Baseline configuration
out_dir = 'out-taylor-corpus'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'taylor-baseline'
dataset = 'taylor_swift_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' # change to 'cuda' if you have a GPU # changed from CPU
compile = False 
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 80 (inside data/taylor_swift_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,745,856 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 850: loss 1.1114, time 293.56ms, mfu 1.22%
iter 860: loss 1.0104, time 293.49ms, mfu 1.23%
iter 870: loss 1.0589, time 294.07ms, mfu 1.23%
iter 880: loss 1.0260, time 293.37ms, mfu 1.24%
iter 890: loss 0.9866, time 293.82ms, mfu 1.24%
iter 900: loss 1.0102, time 304.62ms, mfu 1.24%
iter 910: loss 0.9651, time 294.13ms, mfu 1.24%
iter 920: loss 1.0187, time 293.54ms, mfu 1.24%
iter 930: loss 1.0344, time 294.01ms, mfu 1.25%
iter 940: loss 0.9733, time 293.35ms, mfu 1.25%
iter 950: loss 0.9833, time 292.82ms, mfu 1.25%
iter 960: loss 1.0394, time 298.07ms, mfu 1.25%
iter 970: loss 0.9806, time 298.15ms, mfu 1.25%
iter 980: loss 0.9292, time 299.27ms, mfu 1.25%
iter 990: loss 0.9258, time 298.30ms, mfu 1.25%
step 1000: train loss 0.7617, val loss 1.7068
iter 1000: loss 0.8880, time 41674.15ms, mfu 1.13%
iter 1010: loss 0.9733, time 298.62ms, mfu 1.14%
iter 1020: loss 0.9397, time 299.81ms, mfu 1.15%
iter 1030: loss 0.9248, time 299.59ms, mfu 1.16%
iter 1040: loss 0.9011, time 304.56ms, mfu 1.16%
iter 1050: loss 0.8928, time 298.50ms, mfu 1.17%
iter 1060: loss 0.8944, time 298.92ms, mfu 1.18%
iter 1070: loss 0.9041, time 300.18ms, mfu 1.19%
iter 1080: loss 0.8572, time 302.15ms, mfu 1.19%
iter 1090: loss 0.8293, time 299.61ms, mfu 1.20%
iter 1100: loss 0.8921, time 299.37ms, mfu 1.20%
iter 1110: loss 0.8554, time 299.43ms, mfu 1.21%
iter 1120: loss 0.8718, time 300.41ms, mfu 1.21%
iter 1130: loss 0.8356, time 300.09ms, mfu 1.21%
iter 1140: loss 0.8251, time 300.43ms, mfu 1.22%
iter 1150: loss 0.7736, time 298.96ms, mfu 1.22%
iter 1160: loss 0.7891, time 302.46ms, mfu 1.22%
iter 1170: loss 0.7387, time 304.42ms, mfu 1.22%
iter 1180: loss 0.8258, time 300.44ms, mfu 1.22%
iter 1190: loss 0.7835, time 302.40ms, mfu 1.22%
iter 1200: loss 0.8271, time 300.15ms, mfu 1.23%
iter 1210: loss 0.7881, time 302.45ms, mfu 1.23%
iter 1220: loss 0.8030, time 304.42ms, mfu 1.23%
iter 1230: loss 0.7065, time 300.78ms, mfu 1.23%
iter 1240: loss 0.7496, time 300.83ms, mfu 1.23%
step 1250: train loss 0.5469, val loss 1.8319
iter 1250: loss 0.7596, time 41899.39ms, mfu 1.11%
iter 1260: loss 0.7350, time 299.96ms, mfu 1.12%
iter 1270: loss 0.7846, time 299.58ms, mfu 1.13%
iter 1280: loss 0.7076, time 301.35ms, mfu 1.14%
iter 1290: loss 0.6979, time 302.62ms, mfu 1.15%
iter 1300: loss 0.6987, time 300.60ms, mfu 1.16%
iter 1310: loss 0.7025, time 301.08ms, mfu 1.17%
iter 1320: loss 0.7021, time 300.46ms, mfu 1.18%
iter 1330: loss 0.6570, time 298.96ms, mfu 1.18%
iter 1340: loss 0.6740, time 301.13ms, mfu 1.19%
iter 1350: loss 0.6628, time 297.96ms, mfu 1.19%
iter 1360: loss 0.6700, time 299.43ms, mfu 1.20%
iter 1370: loss 0.6622, time 298.82ms, mfu 1.20%
iter 1380: loss 0.6889, time 298.82ms, mfu 1.21%
iter 1390: loss 0.6694, time 301.24ms, mfu 1.21%
iter 1400: loss 0.6385, time 300.82ms, mfu 1.21%
iter 1410: loss 0.6172, time 300.54ms, mfu 1.22%
iter 1420: loss 0.6733, time 301.26ms, mfu 1.22%
iter 1430: loss 0.6863, time 300.64ms, mfu 1.22%
iter 1440: loss 0.5959, time 300.90ms, mfu 1.22%
iter 1450: loss 0.6358, time 303.17ms, mfu 1.22%
iter 1460: loss 0.6332, time 299.83ms, mfu 1.23%
iter 1470: loss 0.6267, time 299.35ms, mfu 1.23%
iter 1480: loss 0.5659, time 301.17ms, mfu 1.23%
